Team,season,W/L%,ORtg,DRtg,eFG%,3P%,TRB%,TOV%,Postseason,postseason_rank,net_rating
NOP,2022-2023,0.512,114.5,112.6,0.543,0.364,51.1,12.9,No Playoffs,0.0,1.9000000000000057
NYK,2022-2023,0.573,117.8,114.9,0.541,0.354,52.6,11.4,Playoffs,1.0,2.8999999999999915
OKC,2022-2023,0.488,115.2,114.2,0.531,0.356,48.4,11.2,No Playoffs,0.0,1.0
ORL,2022-2023,0.415,111.7,114.2,0.532,0.346,50.7,13.4,No Playoffs,0.0,-2.5
PHI,2022-2023,0.659,117.8,113.4,0.563,0.387,49.9,12.6,Playoffs,1.0,4.3999999999999915
PHO,2022-2023,0.549,115.1,113.0,0.535,0.374,50.8,12.0,Playoffs,1.0,2.0999999999999943
POR,2022-2023,0.402,114.8,118.9,0.549,0.365,48.4,13.1,No Playoffs,0.0,-4.1000000000000085
SAC,2022-2023,0.585,119.4,116.8,0.572,0.369,50.2,12.0,Division Champ,2.0,2.6000000000000085
SAS,2022-2023,0.268,110.3,120.1,0.525,0.345,49.3,13.0,No Playoffs,0.0,-9.799999999999997
TOR,2022-2023,0.5,115.5,114.0,0.517,0.335,50.4,10.3,No Playoffs,0.0,1.5
UTA,2022-2023,0.451,115.8,116.7,0.547,0.353,51.4,13.3,No Playoffs,0.0,-0.9000000000000057
WAS,2022-2023,0.427,114.4,115.6,0.55,0.356,50.4,12.7,No Playoffs,0.0,-1.1999999999999886
ATL,2023-2024,0.439,117.2,119.4,0.539,0.364,50.2,11.6,No Playoffs,0.0,-2.200000000000003
BOS,2023-2024,0.78,123.2,111.6,0.578,0.388,51.7,10.8,Won Championship,4.0,11.600000000000009
BRK,2023-2024,0.39,113.2,116.2,0.531,0.362,49.9,11.8,No Playoffs,0.0,-3.0
CHI,2023-2024,0.476,114.9,116.3,0.534,0.358,50.2,11.0,No Playoffs,0.0,-1.3999999999999915
CHO,2023-2024,0.256,109.3,119.8,0.529,0.355,47.0,12.6,No Playoffs,0.0,-10.5
CLE,2023-2024,0.585,115.2,112.8,0.557,0.367,50.4,12.4,Playoffs,1.0,2.4000000000000057
DAL,2023-2024,0.61,117.7,115.5,0.562,0.369,48.8,11.2,Conference Champ,3.0,2.200000000000003
DEN,2023-2024,0.695,118.5,113.1,0.562,0.374,51.2,11.5,Playoffs,1.0,5.400000000000006
DET,2023-2024,0.171,109.7,118.8,0.526,0.348,50.1,13.5,No Playoffs,0.0,-9.099999999999994
GSW,2023-2024,0.561,117.8,115.2,0.557,0.38,52.1,12.5,No Playoffs,0.0,2.5999999999999943
HOU,2023-2024,0.5,114.6,113.4,0.529,0.352,50.3,11.2,No Playoffs,0.0,1.1999999999999886
IND,2023-2024,0.573,121.1,118.1,0.578,0.374,48.9,11.3,Playoffs,1.0,3.0
LAC,2023-2024,0.622,118.8,115.4,0.561,0.381,50.5,12.0,Division Champ,2.0,3.3999999999999915
LAL,2023-2024,0.573,116.0,115.4,0.566,0.377,49.5,12.5,Playoffs,1.0,0.5999999999999943
MEM,2023-2024,0.329,107.2,114.3,0.509,0.346,48.3,13.4,No Playoffs,0.0,-7.099999999999994
MIA,2023-2024,0.561,114.1,112.3,0.538,0.37,49.7,11.7,Playoffs,1.0,1.7999999999999972
MIL,2023-2024,0.598,118.4,115.8,0.568,0.373,50.1,11.5,Division Champ,2.0,2.6000000000000085
MIN,2023-2024,0.683,115.6,109.0,0.559,0.387,51.3,13.0,Playoffs,1.0,6.599999999999994
NOP,2023-2024,0.598,117.4,112.9,0.558,0.383,51.0,11.8,Playoffs,1.0,4.5
NYK,2023-2024,0.61,118.2,113.4,0.54,0.369,52.7,11.9,Playoffs,1.0,4.799999999999997
OKC,2023-2024,0.695,119.5,112.1,0.573,0.389,48.5,11.4,Division Champ,2.0,7.400000000000006
ORL,2023-2024,0.573,113.4,111.3,0.541,0.352,51.5,13.3,Division Champ,2.0,2.1000000000000085
PHI,2023-2024,0.573,116.9,113.8,0.532,0.363,49.1,10.7,Playoffs,1.0,3.1000000000000085
PHO,2023-2024,0.598,117.7,114.6,0.565,0.382,51.6,13.4,Playoffs,1.0,3.1000000000000085
POR,2023-2024,0.256,108.3,117.5,0.503,0.345,49.4,13.4,No Playoffs,0.0,-9.200000000000003
SAC,2023-2024,0.561,117.0,115.2,0.556,0.366,50.8,11.6,No Playoffs,0.0,1.7999999999999972
SAS,2023-2024,0.268,110.0,116.4,0.532,0.347,49.4,13.2,No Playoffs,0.0,-6.400000000000006
TOR,2023-2024,0.305,112.4,118.8,0.535,0.347,48.6,12.4,No Playoffs,0.0,-6.3999999999999915
UTA,2023-2024,0.378,115.6,120.5,0.539,0.354,51.8,13.6,No Playoffs,0.0,-4.900000000000006
WAS,2023-2024,0.183,110.5,119.6,0.538,0.348,45.6,12.2,No Playoffs,0.0,-9.099999999999994
ATL,2024-2025,0.488,114.6,115.7,0.546,0.358,50.5,13.2,No Playoffs,0.0,-1.1000000000000085
BOS,2024-2025,0.744,120.6,111.2,0.561,0.368,50.9,10.8,Division Champ,2.0,9.399999999999991
BRK,2024-2025,0.317,108.5,115.8,0.516,0.344,48.6,13.7,No Playoffs,0.0,-7.299999999999997
CHI,2024-2025,0.476,114.1,115.6,0.553,0.367,49.9,12.7,No Playoffs,0.0,-1.5
CHO,2024-2025,0.232,107.3,116.6,0.503,0.339,50.0,13.7,No Playoffs,0.0,-9.299999999999997
CLE,2024-2025,0.78,121.8,112.2,0.578,0.383,51.0,11.6,Division Champ,2.0,9.599999999999994
DAL,2024-2025,0.476,114.8,116.0,0.549,0.364,48.7,12.5,No Playoffs,0.0,-1.2000000000000028
DEN,2024-2025,0.61,119.9,116.1,0.573,0.376,51.9,12.5,Playoffs,1.0,3.8000000000000114
DET,2024-2025,0.537,115.0,113.1,0.547,0.362,51.3,13.0,Playoffs,1.0,1.9000000000000057
GSW,2024-2025,0.585,115.1,111.7,0.536,0.364,50.7,12.3,Playoffs,1.0,3.3999999999999915
HOU,2024-2025,0.634,115.3,110.8,0.523,0.353,53.5,11.8,Division Champ,2.0,4.5
IND,2024-2025,0.61,116.5,114.3,0.562,0.368,48.2,11.8,Conference Champ,3.0,2.200000000000003
LAC,2024-2025,0.61,115.1,110.3,0.554,0.373,51.3,13.4,Playoffs,1.0,4.799999999999997
LAL,2024-2025,0.61,115.9,114.7,0.557,0.366,49.7,12.7,Division Champ,2.0,1.2000000000000028
MEM,2024-2025,0.585,117.8,113.1,0.554,0.367,52.0,13.1,Playoffs,1.0,4.700000000000003
MIA,2024-2025,0.451,113.5,112.9,0.544,0.367,49.3,12.4,Playoffs,1.0,0.5999999999999943
MIL,2024-2025,0.585,115.9,113.5,0.568,0.387,48.9,12.2,Playoffs,1.0,2.4000000000000057
MIN,2024-2025,0.598,116.6,111.5,0.554,0.377,50.8,13.0,Playoffs,1.0,5.099999999999994
NOP,2024-2025,0.256,110.4,119.9,0.519,0.347,48.8,12.8,No Playoffs,0.0,-9.5
NYK,2024-2025,0.622,118.5,114.3,0.556,0.369,50.5,11.9,Playoffs,1.0,4.200000000000003
OKC,2024-2025,0.829,120.4,107.5,0.56,0.374,50.0,10.3,Won Championship,4.0,12.900000000000006
ORL,2024-2025,0.5,109.4,109.5,0.51,0.318,49.8,12.9,Division Champ,2.0,-0.09999999999999432
PHI,2024-2025,0.293,111.9,118.3,0.527,0.341,46.6,12.3,No Playoffs,0.0,-6.3999999999999915
PHO,2024-2025,0.439,116.2,119.3,0.561,0.378,49.0,12.8,No Playoffs,0.0,-3.0999999999999943
POR,2024-2025,0.439,111.7,114.7,0.521,0.342,50.3,13.8,No Playoffs,0.0,-3.0
SAC,2024-2025,0.488,116.8,116.3,0.548,0.357,51.1,11.8,No Playoffs,0.0,0.5
SAS,2024-2025,0.415,114.4,117.2,0.544,0.357,48.6,12.3,No Playoffs,0.0,-2.799999999999997
TOR,2024-2025,0.366,110.5,114.8,0.522,0.348,50.1,13.3,No Playoffs,0.0,-4.299999999999997
UTA,2024-2025,0.207,111.2,120.5,0.533,0.35,50.7,14.9,No Playoffs,0.0,-9.299999999999997
WAS,2024-2025,0.22,106.8,119.0,0.512,0.335,47.2,13.6,No Playoffs,0.0,-12.200000000000003
